"year","month","precipitation_sum","temperature_2m_mean (°C)","soil_moisture_0_to_7cm_mean (m³/m³)","soil_moisture_7_to_28cm_mean (m³/m³)","soil_temperature_0_to_7cm_mean (°C)","soil_temperature_7_to_28cm_mean (°C)","wind_speed_10m_mean (km/h)","relative_humidity_2m_mean (%)","dew_point_2m_mean (°C)","sunshine_duration (s)","date_col","season"
2023,2,45.7,5.44285714285714,0,0,5.51071428571429,5.51071428571429,27.8642857142857,84.3214285714286,2.91785714285714,17048.7657142857,2023-02-14,"Winter"
2023,3,100.8,5.99032258064516,0,0,5.86129032258065,5.86129032258065,30.0451612903226,80.741935483871,2.81290322580645,21138.8103225806,2023-03-16,"Spring"
2023,4,50.5,7.59,0,0,7.61666666666667,7.61666666666667,25.7866666666667,78.6333333333333,3.99666666666667,34511.487,2023-04-15,"Spring"
2023,5,65,10.7129032258065,0,0,10.5032258064516,10.5032258064516,24.6032258064516,81.3225806451613,7.57096774193548,39074.6661290323,2023-05-16,"Spring"
2023,11,161.5,8.40666666666667,0,0,10.8433333333333,10.8433333333333,33.4766666666667,81.6666666666667,5.36333333333333,13384.5923333333,2023-11-15,"Autumn"
2023,12,148.4,6.30967741935484,0,0,7.85806451612903,7.85806451612903,35.8903225806452,85.1612903225806,3.94838709677419,7194.30838709677,2023-12-16,"Winter"
2024,1,114.4,4.54193548387097,0,0,5.83548387096774,5.83548387096774,37.8483870967742,80.9677419354839,1.49677419354839,11052.2387096774,2024-01-16,"Winter"
2024,2,113.9,6.60344827586207,0,0,5.98275862068965,5.98275862068965,32.1379310344828,87.7586206896552,4.67931034482759,11233.4837931034,2024-02-15,"Winter"
2024,3,47,7.25806451612903,0,0,6.85161290322581,6.85161290322581,25.9612903225806,84.6451612903226,4.79354838709677,23152.5712903226,2024-03-16,"Spring"
2024,4,106.7,9.24666666666667,0,0,9.14666666666667,9.14666666666667,26.7066666666667,79.2333333333333,5.73,31668.0473333333,2024-04-15,"Spring"
2024,5,81.7,13.8193548387097,0,0,12.658064516129,12.658064516129,21.4838709677419,83.741935483871,10.9967741935484,43986.1980645161,2024-05-16,"Spring"
2024,11,152.3,8.83,0,0,11.8266666666667,11.8266666666667,29.61,80.9,5.64,8804.82366666667,2024-11-15,"Autumn"
2024,12,68.5,6.63870967741935,0,0,7.53548387096774,7.53548387096774,33.2677419354839,86.0645161290323,4.41612903225806,4227.55129032258,2024-12-16,"Winter"
2025,1,85.2,4.51290322580645,0,0,5.51290322580645,5.51290322580645,30.0032258064516,84.4193548387097,2.03548387096774,11751.9487096774,2025-01-16,"Winter"
2025,2,20,3.33928571428571,0,0,4.67142857142857,4.67142857142857,25.3607142857143,83.2142857142857,0.65,14733.0857142857,2025-02-14,"Winter"
2025,3,8.3,5.78064516129032,0,0,5.26774193548387,5.26774193548387,22.6225806451613,81.9677419354839,2.85161290322581,34286.26,2025-03-16,"Spring"
2025,4,10.2,8.54333333333333,0,0,8.25,8.24666666666667,18.96,85.8333333333333,6.25,36351.3693333333,2025-04-15,"Spring"
2025,5,43.2,11.6129032258065,0,0,11.7096774193548,11.7096774193548,24.5677419354839,81.3870967741936,8.44838709677419,45970.8167741935,2025-05-16,"Spring"
