"year","month","precipitation_sum","temperature_2m_mean (°C)","soil_moisture_0_to_7cm_mean (m³/m³)","soil_moisture_7_to_28cm_mean (m³/m³)","soil_temperature_0_to_7cm_mean (°C)","soil_temperature_7_to_28cm_mean (°C)","wind_speed_10m_mean (km/h)","relative_humidity_2m_mean (%)","dew_point_2m_mean (°C)","sunshine_duration (s)","date_col","season"
2021,3,54.6,5.13548387096774,0,0,4.4741935483871,4.4741935483871,27.041935483871,84.7096774193548,2.69032258064516,28269.1574193548,2021-03-16,"Spring"
2021,4,32.5,6.18333333333333,0,0,6.86,6.86,28.1666666666667,77.3333333333333,2.43666666666667,38577.1986666667,2021-04-15,"Spring"
2021,5,120.1,9.60322580645161,0,0,9.75806451612903,9.75806451612903,24.3709677419355,84.8709677419355,7.12903225806452,34899.2774193548,2021-05-16,"Spring"
2021,6,50,14.8066666666667,0,0,14.4666666666667,14.4666666666667,19.0433333333333,86.5,12.5133333333333,43575.353,2021-06-15,"Summer"
2021,7,62.6,17.5354838709677,0,0,17.8548387096774,17.8548387096774,21.4967741935484,84.8709677419355,14.9032258064516,45363.4680645161,2021-07-16,"Summer"
2021,8,118.4,17.258064516129,0,0,18.6548387096774,18.6548387096774,27.0290322580645,80.3548387096774,13.8064516129032,38835.0451612903,2021-08-16,"Summer"
2021,9,59.4,16.6766666666667,0,0,17.6366666666667,17.6366666666667,22.84,80.6333333333333,13.2266666666667,30835.221,2021-09-15,"Autumn"
2021,10,145.8,12.8967741935484,0,0,14.258064516129,14.258064516129,30.8225806451613,79.8387096774194,9.39677419354839,20523.0922580645,2021-10-16,"Autumn"
2021,11,66.1,9.06666666666667,0,0,10.64,10.64,28.67,82.7666666666667,6.22333333333333,12031.8886666667,2021-11-15,"Autumn"
2021,12,87.5,5.33548387096774,0,0,7.25806451612903,7.25483870967742,28.3709677419355,86.5483870967742,3.15483870967742,8866.85612903226,2021-12-16,"Winter"
2022,1,67.3,5.63225806451613,0,0,5.19677419354839,5.19677419354839,33.3709677419355,86.3548387096774,3.43870967741935,11275.8990322581,2022-01-16,"Winter"
2022,2,143.5,6.00714285714286,0,0,5.48571428571429,5.48571428571429,40.9892857142857,81.2857142857143,2.96785714285714,16534.6489285714,2022-02-14,"Winter"
2022,3,35.7,5.66129032258065,0,0,5.93870967741935,5.93870967741935,21.6870967741935,78.3870967741936,2.08709677419355,30695.5993548387,2022-03-16,"Spring"
2022,4,52.4,7.63666666666667,0,0,7.72666666666667,7.72666666666667,29.11,77.1666666666667,3.78666666666667,36773.2836666667,2022-04-15,"Spring"
2022,5,68.2,11.6548387096774,0,0,11.6774193548387,11.6741935483871,23.0096774193548,80.9354838709677,8.41935483870968,41198.7241935484,2022-05-16,"Spring"
2022,6,61.1,14.9433333333333,0,0,15.2733333333333,15.2766666666667,21.3233333333333,82.2666666666667,11.8933333333333,44621.51,2022-06-15,"Summer"
2022,7,81,17.0645161290323,0,0,17.7774193548387,17.7774193548387,25.3096774193548,77.5161290322581,13.0032258064516,40628.7874193548,2022-07-16,"Summer"
2022,8,4.7,18.9354838709677,0,0,19.2096774193548,19.2129032258065,20.0387096774194,78.6451612903226,15.0612903225806,43929.56,2022-08-16,"Summer"
2022,9,164.5,15.5833333333333,0,0,17.34,17.34,25.81,74.8333333333333,11.0433333333333,29594.87,2022-09-15,"Autumn"
2022,10,56.7,14.041935483871,0,0,14.6838709677419,14.6870967741935,27.7741935483871,82.7096774193548,11.0677419354839,25384.4929032258,2022-10-16,"Autumn"
2022,11,83.8,9.40666666666667,0,0,12.2533333333333,12.2533333333333,32.3366666666667,83.9333333333333,6.77333333333333,12920.638,2022-11-15,"Autumn"
2022,12,89.4,4.74516129032258,0,0,7.77741935483871,7.77741935483871,29.8838709677419,86.8064516129032,2.68387096774194,9349.71161290323,2022-12-16,"Winter"
2023,1,102.2,5.73225806451613,0,0,6.07741935483871,6.0741935483871,34.058064516129,84.9032258064516,3.36774193548387,12915.5535483871,2023-01-16,"Winter"
2023,2,45.7,5.44285714285714,0,0,5.51071428571429,5.51071428571429,27.8642857142857,84.3214285714286,2.91785714285714,17048.7657142857,2023-02-14,"Winter"
2023,3,100.8,5.99032258064516,0,0,5.86129032258065,5.86129032258065,30.0451612903226,80.741935483871,2.81290322580645,21138.8103225806,2023-03-16,"Spring"
2023,4,50.5,7.59,0,0,7.61666666666667,7.61666666666667,25.7866666666667,78.6333333333333,3.99666666666667,34511.487,2023-04-15,"Spring"
2023,5,65,10.7129032258065,0,0,10.5032258064516,10.5032258064516,24.6032258064516,81.3225806451613,7.57096774193548,39074.6661290323,2023-05-16,"Spring"
2023,6,25.4,14.7666666666667,0,0,13.8,13.8,21.1066666666667,84.6,12.1266666666667,49149.9423333333,2023-06-15,"Summer"
2023,7,123.9,17.1612903225806,0,0,18.0612903225806,18.0612903225806,27.4032258064516,78.5161290322581,13.3225806451613,42162.9758064516,2023-07-16,"Summer"
2023,8,100.4,17.5741935483871,0,0,18.5645161290323,18.5645161290323,22.5709677419355,81.4838709677419,14.2967741935484,39842.3496774194,2023-08-16,"Summer"
2023,9,59.5,18.0533333333333,0,0,18.8233333333333,18.8233333333333,21.46,79.7333333333333,14.4266666666667,35060.0233333333,2023-09-15,"Autumn"
