"Genes","Liu","Zhang2021","Blair","LiWang","Zhang2017"
"AT4G17090",FALSE,TRUE,TRUE,FALSE,TRUE
"AT4G17500",TRUE,TRUE,FALSE,TRUE,FALSE
"AT4G18205",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G19170",TRUE,FALSE,FALSE,TRUE,FALSE
"AT4G21860",FALSE,FALSE,TRUE,TRUE,TRUE
"AT4G22570",FALSE,FALSE,FALSE,TRUE,FALSE
"AT4G24000",FALSE,FALSE,FALSE,TRUE,TRUE
"AT4G24450",FALSE,TRUE,FALSE,FALSE,TRUE
"AT4G24920",FALSE,FALSE,FALSE,TRUE,FALSE
"AT4G25140",FALSE,FALSE,TRUE,FALSE,FALSE
"AT4G25200",TRUE,TRUE,TRUE,TRUE,TRUE
"AT4G25360",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G25370",FALSE,TRUE,FALSE,FALSE,FALSE
"AT4G26110",FALSE,TRUE,FALSE,FALSE,FALSE
"AT4G26230",FALSE,FALSE,FALSE,FALSE,TRUE
"AT4G27070",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G27160",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G27170",FALSE,FALSE,FALSE,FALSE,TRUE
"AT4G27260",TRUE,FALSE,TRUE,FALSE,TRUE
"AT4G27280",TRUE,TRUE,FALSE,TRUE,TRUE
"AT4G27320",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G27560",TRUE,FALSE,TRUE,TRUE,FALSE
"AT4G28390",FALSE,FALSE,TRUE,TRUE,TRUE
"AT4G28520",FALSE,FALSE,TRUE,FALSE,FALSE
"AT4G29070",FALSE,FALSE,TRUE,TRUE,TRUE
"AT4G29780",TRUE,TRUE,FALSE,TRUE,TRUE
"AT4G29905",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G30450",FALSE,TRUE,FALSE,TRUE,TRUE
"AT4G30460",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G32820",FALSE,TRUE,TRUE,FALSE,FALSE
"AT4G33040",FALSE,TRUE,TRUE,TRUE,FALSE
"AT4G33640",FALSE,FALSE,FALSE,TRUE,FALSE
"AT4G34000",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G34410",TRUE,FALSE,FALSE,FALSE,FALSE
"AT4G34620",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G35090",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G35600",FALSE,TRUE,FALSE,TRUE,TRUE
"AT4G35750",TRUE,FALSE,FALSE,TRUE,FALSE
"AT4G36220",FALSE,TRUE,TRUE,FALSE,TRUE
"AT4G36520",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G37180",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G37300",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G37680",FALSE,TRUE,FALSE,FALSE,FALSE
"AT4G37990",FALSE,TRUE,FALSE,TRUE,TRUE
"AT4G38932",FALSE,FALSE,FALSE,FALSE,TRUE
"AT4G39235",FALSE,FALSE,TRUE,TRUE,TRUE
"AT4G39730",FALSE,TRUE,FALSE,TRUE,FALSE
"AT4G39910",FALSE,FALSE,FALSE,FALSE,FALSE
"AT5G01220",FALSE,FALSE,FALSE,FALSE,FALSE
"AT5G01990",FALSE,TRUE,TRUE,TRUE,TRUE
