Taxa	PC1	PC2	PC3	PC4	PC5
C153	-0.9890069	1.6952361	2.451553	0.90904176	-1.0308474
C154	1.8758475	3.8098001	1.6420869	1.1074291	1.0262351
C155	3.8376145	5.115101	1.4258053	0.25665268	0.6707079
C156	1.4833518	2.5497687	0.51942384	1.8016543	2.2047598
C157	-0.1381856	1.8423387	-0.27278182	1.4586517	2.2509968
C158	1.836061	3.2578428	1.5215768	1.2405298	0.9563098
C160	-2.0949233	1.2939526	2.4615352	1.4523866	-1.7203634
C161	2.2578692	3.5094392	0.5810217	1.3989005	2.0907223
C162	3.824206	4.206332	1.5994331	0.67935556	1.1091783
C163	-0.15443525	2.5209491	1.9237163	-1.2767141	-3.024302
C164	0.5275993	3.0861504	1.5446568	-1.383405	-2.3896632
C165	0.3282513	2.5529356	1.0777508	-0.66123325	-2.1804345
C166	0.63331616	2.5321224	1.9180821	-1.6659395	-2.2040265
C167	1.1393274	3.4842243	1.1653496	-0.3893525	-0.6969641
C168	1.1413829	2.8876011	1.1895291	-0.7600434	-1.4431618
C169	-0.42325482	2.1410756	2.1122694	-1.4763601	-3.1071389
C170	-0.4910594	2.2283685	1.7473449	-1.3534517	-3.1042914
C171	0.10691016	2.357404	2.074478	-1.3702979	-2.8344955
C172	0.98126745	2.9379401	1.0607531	-0.7455584	-1.1280719
C173	0.76462674	2.6841958	1.5809221	-0.4140232	-0.24938408
C174	1.0992125	2.2248604	0.7254124	-0.2069708	0.055406652
C175	0.6828518	1.7315869	-0.041163675	-0.9432484	0.059850533
C176	0.47045615	1.9031128	1.1067339	-0.82915425	-1.021145
C177	1.5570151	3.296218	1.581194	-0.5804918	0.039790057
C178	0.2789195	2.1038568	1.5333465	-0.82738686	-1.2742525
C179	-0.18146168	2.0597417	1.5615754	-1.764899	-1.5532243
C180	0.49841282	2.5427046	1.6253842	-1.8131799	-2.0724788
C181	-0.32552588	1.845241	1.6891311	-1.2316939	-2.680241
C182	-0.7600822	2.2739396	2.1162915	-1.1668088	-3.2452035
C183	-0.7728559	1.8019669	0.8907456	-1.0458584	-1.6307688
C184	-0.13326344	2.0048082	0.23444343	-0.2930726	-0.12497777
C185	-0.96319705	1.6386777	0.7681935	-1.0054127	-1.2330744
C186	-0.3169446	1.8701744	1.8671318	-1.7797267	-2.6842964
C187	-1.2660102	1.8803048	1.6795765	-1.7287152	-3.22631
C188	-0.7836047	1.9755673	1.868111	-1.0423847	-3.0683308
C189	-0.4385696	1.2662365	0.09228141	-0.46860906	0.5978231
C190	-1.3883982	1.6362998	1.44213	-1.3071811	-3.6597137
C191	0.48137966	2.041616	0.0023818603	0.07967099	0.20542118
C192	0.28701532	2.1432445	0.25314122	-0.6550315	-0.16414557
C193	1.7553797	4.416153	1.468836	-0.6063569	-0.6167529
C194	-1.9621319	1.4815801	0.050696604	-1.1224296	-0.8821723
C195	-2.2147896	1.0480322	1.0166657	-1.7253892	-3.9622364
C196	-1.1977361	0.9792649	-0.071697675	-0.65255827	-1.0539788
