PC	eigenvalue	proportion of total	cumulative proportion
277	0.15166	7.9145E-4	0.93578
278	0.15089	7.8742E-4	0.93657
279	0.15006	7.8309E-4	0.93735
280	0.14914	7.7829E-4	0.93813
281	0.14758	7.7017E-4	0.9389
282	0.14682	7.6621E-4	0.93967
283	0.14634	7.6368E-4	0.94043
284	0.14608	7.6233E-4	0.94119
285	0.14473	7.553E-4	0.94195
286	0.14385	7.5072E-4	0.9427
287	0.14368	7.4979E-4	0.94345
288	0.14306	7.4658E-4	0.9442
289	0.14201	7.4107E-4	0.94494
290	0.14127	7.372E-4	0.94567
291	0.14029	7.3211E-4	0.94641
292	0.13959	7.2847E-4	0.94714
293	0.13917	7.2625E-4	0.94786
294	0.13874	7.24E-4	0.94859
295	0.13712	7.1555E-4	0.9493
296	0.13638	7.1173E-4	0.95001
297	0.1354	7.0661E-4	0.95072
298	0.13467	7.028E-4	0.95142
299	0.13285	6.9328E-4	0.95212
300	0.13133	6.8534E-4	0.9528
301	0.13028	6.7987E-4	0.95348
302	0.1292	6.7425E-4	0.95416
303	0.12889	6.726E-4	0.95483
304	0.12836	6.6984E-4	0.9555
305	0.12773	6.6657E-4	0.95616
306	0.12713	6.6342E-4	0.95683
307	0.12642	6.5975E-4	0.95749
308	0.12607	6.579E-4	0.95815
309	0.12518	6.5326E-4	0.9588
310	0.124	6.4712E-4	0.95945
311	0.12353	6.4466E-4	0.96009
312	0.1225	6.3928E-4	0.96073
313	0.12202	6.368E-4	0.96137
314	0.12113	6.3215E-4	0.962
315	0.11993	6.2587E-4	0.96262
316	0.11921	6.2208E-4	0.96325
317	0.11868	6.1936E-4	0.96387
318	0.11829	6.173E-4	0.96448
319	0.11726	6.1195E-4	0.9651
320	0.11635	6.0717E-4	0.9657
321	0.11549	6.0269E-4	0.9663
322	0.11442	5.971E-4	0.9669
323	0.11326	5.9106E-4	0.96749
324	0.11293	5.8936E-4	0.96808
325	0.11179	5.8341E-4	0.96867
326	0.11105	5.7951E-4	0.96925
327	0.11023	5.7523E-4	0.96982
328	0.10893	5.6848E-4	0.97039
329	0.10856	5.6652E-4	0.97096
330	0.10836	5.6549E-4	0.97152
331	0.10767	5.6186E-4	0.97208
332	0.10694	5.5809E-4	0.97264
333	0.10614	5.5388E-4	0.97319
334	0.10552	5.5067E-4	0.97375
335	0.10427	5.4416E-4	0.97429
336	0.10386	5.42E-4	0.97483
337	0.10319	5.3848E-4	0.97537
338	0.10253	5.3506E-4	0.97591
339	0.10183	5.3139E-4	0.97644
340	0.10148	5.2958E-4	0.97697
341	0.10063	5.2517E-4	0.97749
342	0.09939	5.1867E-4	0.97801
343	0.09893	5.1627E-4	0.97853
344	0.09793	5.1106E-4	0.97904
345	0.09726	5.0758E-4	0.97954
346	0.0965	5.0359E-4	0.98005
347	0.09584	5.0016E-4	0.98055
348	0.09414	4.9126E-4	0.98104
349	0.09387	4.8985E-4	0.98153
350	0.09329	4.8684E-4	0.98202
351	0.09179	4.7899E-4	0.9825
352	0.09133	4.7659E-4	0.98297
353	0.09074	4.7356E-4	0.98345
354	0.08921	4.6556E-4	0.98391
355	0.08891	4.64E-4	0.98438
356	0.0879	4.587E-4	0.98483
357	0.08687	4.5333E-4	0.98529
358	0.08667	4.5228E-4	0.98574
359	0.08571	4.473E-4	0.98619
360	0.08451	4.4103E-4	0.98663
361	0.08376	4.3711E-4	0.98707
362	0.08346	4.3555E-4	0.9875
363	0.08222	4.2909E-4	0.98793
364	0.08121	4.2378E-4	0.98835
365	0.08105	4.2297E-4	0.98878
366	0.08032	4.1914E-4	0.9892
367	0.07901	4.1234E-4	0.98961
368	0.07796	4.0687E-4	0.99001
369	0.07742	4.04E-4	0.99042
370	0.07709	4.0228E-4	0.99082
371	0.0766	3.9975E-4	0.99122
372	0.076	3.9663E-4	0.99162
373	0.07494	3.9107E-4	0.99201
374	0.07415	3.8693E-4	0.9924
375	0.07333	3.8269E-4	0.99278
376	0.0727	3.794E-4	0.99316
377	0.07145	3.7288E-4	0.99353
378	0.07057	3.6829E-4	0.9939
379	0.06964	3.634E-4	0.99426
380	0.06913	3.6076E-4	0.99462
381	0.06828	3.5633E-4	0.99498
382	0.06738	3.516E-4	0.99533
383	0.06648	3.4693E-4	0.99568
384	0.06498	3.3909E-4	0.99602
