<Phenotype>
taxa	data
Taxa	temperature_C
808	2.0413465
809	-1.4586533
811	-2.1586533
812	-1.0913026
815	-0.7777681
817	-0.45865354
818	2.2413468
819	-1.1586534
821	0.74226874
822	0.16185209
823	1.1422689
824	1.9818883
825	-0.6367397
826	0.042268958
827	-0.45865354
829	0.94656193
830	1.1422689
831	-0.9063459
832	-0.15865333
833	-0.5586534
834	-0.15865333
835	-0.7586532
837	-0.13751811
838	-0.45865354
841	1.3413466
843	-0.058653433
844	-0.82223374
845	-1.0101918
846	0.59608364
848	0.81675583
849	-1.5586535
850	2.3413467
851	0.6413469
852	1.2413467
853	-1.2456238
854	-0.16335618
855	-0.7586532
856	0.47982004
857	-0.9586533
858	-2.1586533
859	1.3116293
860	-0.3487933
861	-0.6811235
862	0.74226874
865	-0.64343905
866	0.18171336
867	0.30355778
869	1.6131905
870	0.74226874
871	-0.1301128
872	0.347225
873	1.5519277
875	-0.13358766
876	0.74226874
877	-0.45634332
878	0.74226874
879	0.3876094
880	0.28550428
881	1.305812
882	1.25962
883	1.5069658
884	-0.67818725
885	0.41409367
886	-0.62687856
887	0.54226893
888	1.2432097
889	-0.47846642
890	-0.6600953
891	-0.5170978
892	-1.6388068
893	-0.25290957
894	2.695291
895	2.556993
897	1.6702205
898	0.009124172
899	-0.8335342
900	1.9558504
901	1.1389122
902	-0.74326557
905	-0.25773123
910	-0.4830902
911	0.16432196
912	-0.5145382
913	0.7824609
914	-0.25824153
916	-0.7522985
918	1.614702
919	0.28621694
920	-1.0436532
922	-0.2544914
923	-1.5915793
924	-0.28927115
926	-0.5698422
927	0.042268958
928	-0.2672663
929	-1.2979482
930	-0.78873503
931	-0.84754425
933	-0.784845
937	0.097906925
939	-0.7523972
940	-0.52073103
941	-0.15773132
942	0.9420651
944	-0.15773132
946	-0.6371541
947	-0.57949686
949	1.882137
951	-1.2844342
952	0.74226874
953	-0.69133013
954	-0.9306116
955	-0.20398638
956	0.673414
957	1.1422689
958	0.22272876
959	0.38007534
960	-0.8462645
1000	-0.7397726
1001	0.9432583
1002	0.09410037
1004	0.27018234
1005	-1.3420278
1006	-0.8927136
1007	-0.75013334
1008	1.1554668
1009	0.68117344
1011	1.1877373
1012	0.24568516
1013	-0.59597087
1015	0.042399213
1016	1.8894776
1018	1.7421545
1019	0.38451886
1020	0.894429
1021	1.3334491
1022	-0.2974284
1024	-1.3895574
1025	0.38171053
1026	0.40030938
1027	0.22946677
1028	0.41100195
1029	0.036978602
1030	0.17172655
1032	0.2872724
1034	-1.2988598
1035	-0.5291496
1036	0.030181596
1037	0.07009863
1039	1.2912464
1040	0.9408536
1041	0.1567972
1043	0.30395296
1044	1.1693724
1045	-0.98171145
1046	0.6581784
1047	0.6957268
1048	0.9330536
1049	1.9251423
1050	0.93436515
1051	-0.8493275
1052	-0.061935443
1053	0.5957431
1054	1.1698356
1055	0.44226858
1056	-1.0782546
961	-0.41780874
963	-0.28656507
964	-0.22205557
966	-0.21161659
967	-1.2094212
969	-0.8353903
970	-0.080786206
972	-0.94946057
974	-1.7636055
975	-1.2857732
976	-1.7554914
978	-0.27106097
979	-1.2481134
980	0.009208454
981	1.4269285
982	-0.011243557
983	-0.06107279
984	0.40163013
986	-1.0551239
987	0.7630787
988	-0.67229015
989	-0.37214994
990	0.5639682
991	0.0065010763
992	0.24226877
994	-0.49146733
996	0.8350944
997	-0.20244661
998	-0.72719795
999	-0.15737164
443	-2.7937052
444	-0.93353325
445	0.8062946
446	0.3966637
447	-0.39370516
450	-0.8937052
452	0.7221887
453	-0.005794609
454	-0.2384255
455	-1.6080531
457	-2.193705
458	-0.55478233
