plant_ID,leaves_number,petiole_longest_leaf_cm,length_longest_leaf_cm,width_longest_leaf_cm,stem_cm,Cauline_leaves,flowers,plant_length_cm,Sideshoots,Sidebranch,location,season,year,longitude_GMS,latitude_GMS,temperature_C,petiole_length_ratio,aspect_ratio,leaf_to_stem,leaf_plant_length,stem_plant_length,Sideshoot_to_plant_length,flower_to_plnat_length,plant_length_latitude
1_59,14,1.2,3.3,0.8,0.9,7,129,23.8,7,0,Spiekeroog,Spring,2021,NA,NA,NA,0.363636363636364,0.242424242424242,3.66666666666667,0.588235294117647,0.0378151260504202,0.294117647058824,5.42016806722689,NA
1_60,12,1.5,3,0.8,1,4,61,20.8,5,2,Spiekeroog,Spring,2021,NA,NA,NA,0.5,0.266666666666667,3,0.576923076923077,0.0480769230769231,0.240384615384615,2.93269230769231,NA
1_61,5,0.7,2.2,0.5,1.2,7,34,23.1,2,1,Spiekeroog,Spring,2021,NA,NA,NA,0.318181818181818,0.227272727272727,1.83333333333333,0.216450216450216,0.0519480519480519,0.0865800865800866,1.47186147186147,NA
1_62,6,0.6,3.2,0.8,0.5,3,49,18.4,2,1,Spiekeroog,Spring,2021,NA,NA,NA,0.1875,0.25,6.4,0.326086956521739,0.0271739130434783,0.108695652173913,2.66304347826087,NA
1_63,5,0.2,1.4,0.5,0.8,4,25,16.4,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.142857142857143,0.357142857142857,1.75,0.304878048780488,0.0487804878048781,0.0609756097560976,1.52439024390244,NA
1_64,10,0.3,1.1,0.2,1.2,5,41,20.1,3,0,Spiekeroog,Spring,2021,NA,NA,NA,0.272727272727273,0.181818181818182,0.916666666666667,0.497512437810945,0.0597014925373134,0.149253731343284,2.03980099502488,NA
1_65,5,0.7,2,0.6,0.6,4,40,31.1,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.35,0.3,3.33333333333333,0.160771704180064,0.0192926045016077,0,1.28617363344051,NA
1_66,3,0.7,2.3,1,1,4,76,31.2,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.304347826086957,0.434782608695652,2.3,0.0961538461538462,0.0320512820512821,0,2.43589743589744,NA
1_67,6,0.4,2.5,0.8,1.3,4,58,33.4,3,1,Spiekeroog,Spring,2021,NA,NA,NA,0.16,0.32,1.92307692307692,0.179640718562874,0.0389221556886228,0.0898203592814371,1.73652694610778,NA
1_68,10,0.5,2.5,1.1,1,6,72,23.8,4,0,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.44,2.5,0.420168067226891,0.0420168067226891,0.168067226890756,3.02521008403361,NA
1_69,6,0.4,1.7,0.5,0.5,2,33,22.7,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.235294117647059,0.294117647058824,3.4,0.26431718061674,0.0220264317180617,0,1.45374449339207,NA
1_70,10,0.5,2.2,0.7,1.5,3,101,34.2,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.227272727272727,0.318181818181818,1.46666666666667,0.292397660818713,0.043859649122807,0,2.95321637426901,NA
1_71,6,1.7,4,0.7,1.2,4,76,30.5,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.425,0.175,3.33333333333333,0.19672131147541,0.039344262295082,0,2.49180327868852,NA
1_72,7,0.6,1.7,0.5,0.8,3,30,27.2,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.352941176470588,0.294117647058824,2.125,0.257352941176471,0.0294117647058824,0,1.10294117647059,NA
1_73,7,1,2,0.4,0.7,4,30,20,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.5,0.2,2.85714285714286,0.35,0.035,0,1.5,NA
1_74,7,1.1,3.1,0.8,1.5,4,23,26.8,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.354838709677419,0.258064516129032,2.06666666666667,0.261194029850746,0.0559701492537313,0,0.85820895522388,NA
1_75,6,0.5,1.3,0.4,1,3,35,22.5,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.384615384615385,0.307692307692308,1.3,0.266666666666667,0.0444444444444444,0,1.55555555555556,NA
1_76,7,0.7,1.9,0.6,1.6,5,27,16.9,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.368421052631579,0.31578947368421,1.1875,0.414201183431953,0.0946745562130178,0,1.59763313609467,NA
1_77,7,0.3,1.5,0.6,0.6,2,23,19.7,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.4,2.5,0.355329949238579,0.0304568527918782,0,1.16751269035533,NA
1_78,5,1.7,3.8,0.3,1.7,4,34,22.2,4,2,Spiekeroog,Spring,2021,NA,NA,NA,0.447368421052632,0.0789473684210526,2.23529411764706,0.225225225225225,0.0765765765765766,0.18018018018018,1.53153153153153,NA
1_79,7,0.2,1,0.3,0.9,3,9,12.3,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.3,1.11111111111111,0.56910569105691,0.0731707317073171,0.0813008130081301,0.731707317073171,NA
1_80,8,0.4,1.8,0.5,1.2,4,42,25,3,1,Spiekeroog,Spring,2021,NA,NA,NA,0.222222222222222,0.277777777777778,1.5,0.32,0.048,0.12,1.68,NA
1_81,4,0.6,2.2,0.8,1.7,3,89,30.7,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.272727272727273,0.363636363636364,1.29411764705882,0.130293159609121,0.0553745928338762,0,2.89902280130293,NA
1_82,6,0.6,1.6,0.6,0.8,3,37,26.4,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.375,0.375,2,0.227272727272727,0.0303030303030303,0,1.40151515151515,NA
1_83,7,0.6,2.7,0.7,1.5,6,16,24.9,1,2,Spiekeroog,Spring,2021,NA,NA,NA,0.222222222222222,0.259259259259259,1.8,0.281124497991968,0.0602409638554217,0.0401606425702811,0.642570281124498,NA
1_84,2,0.8,2.8,0.4,1.2,7,10,20.8,2,1,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.142857142857143,2.33333333333333,0.0961538461538461,0.0576923076923077,0.0961538461538461,0.480769230769231,NA
1_85,9,0.4,1.6,0.4,0.6,2,27,23.8,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.25,0.25,2.66666666666667,0.378151260504202,0.0252100840336134,0,1.1344537815126,NA
1_86,4,0.7,1.6,0.5,0.8,5,51,17.7,0,5,Spiekeroog,Spring,2021,NA,NA,NA,0.4375,0.3125,2,0.225988700564972,0.0451977401129944,0,2.88135593220339,NA
1_87,4,0.8,2.1,0.7,1.7,3,74,37.7,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.380952380952381,0.333333333333333,1.23529411764706,0.106100795755968,0.0450928381962865,0,1.96286472148541,NA
1_88,5,0.5,2.8,1,1.1,3,71,32,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.178571428571429,0.357142857142857,2.54545454545454,0.15625,0.034375,0.03125,2.21875,NA
1_89,4,1,1.8,0.3,0.5,4,9,12.2,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.555555555555556,0.166666666666667,3.6,0.327868852459016,0.040983606557377,0,0.737704918032787,NA
1_90,6,0.1,1,0.4,0.3,4,3,5,2,0,Spiekeroog,Spring,2021,NA,NA,NA,0.1,0.4,3.33333333333333,1.2,0.06,0.4,0.6,NA
1_91,12,1.2,2.2,0.6,1.6,6,67,35.5,0,6,Spiekeroog,Spring,2021,NA,NA,NA,0.545454545454545,0.272727272727273,1.375,0.338028169014085,0.0450704225352113,0,1.88732394366197,NA
