plant_ID,root associated,root_length_cm,length_longest_leaf_cm,petiole_longest_leaf_cm,width_longest_leaf_cm,leaves_number,eaten_leaves,temperature_C,petiole-length-ratio,length-width-ratio,longitude_GMS,latitude_GMS,altitude,date,time,comments,season,year,location,petiole_length_ratio,aspect_ratio
856,NA,NA,0.662,0.282,0.326,8,n,5.3,0.425981873111783,2.03067484662577,7.71708888888889,53.7752583333333,45,2021-12-07,1899-12-31 12:46:00,NA,Winter,2021,Spiekeroog,0.425981873111782,0.492447129909366
857,NA,NA,0.465,0.184,0.28,9,n,3.7,0.395698924731183,1.66071428571429,7.71724166666667,53.7757666666667,44,2021-12-07,1899-12-31 13:52:00,NA,Winter,2021,Spiekeroog,0.395698924731183,0.602150537634409
858,842,NA,0.526,0.164,0.255,10,n,2.5,0.311787072243346,2.06274509803922,7.71708055555556,53.7755083333333,51,2021-12-07,1899-12-31 15:09:00,NA,Winter,2021,Spiekeroog,0.311787072243346,0.484790874524715
859,NA,NA,1.069,0.418,0.473,9,n,6,0.391019644527596,2.2600422832981,7.71732777777778,53.7757555555556,39,2021-12-07,1899-12-31 14:00:00,NA,Winter,2021,Spiekeroog,0.391019644527596,0.442469597754911
860,NA,NA,0.616,0.205,0.354,9,n,3.9,0.332792207792208,1.74011299435028,7.71731666666667,53.7754583333333,55.056,2021-12-07,1899-12-31 15:06:00,NA,Winter,2021,Spiekeroog,0.332792207792208,0.574675324675325
861,839,NA,0.687,0.302,0.41,7,n,3.6,0.439592430858806,1.67560975609756,7.71727222222222,53.7754472222222,52,2021-12-07,1899-12-31 15:17:00,NA,Winter,2021,Spiekeroog,0.439592430858806,0.596797671033479
862,NA,NA,0.646,0.224,0.33,12,n,5.5,0.346749226006192,1.95757575757576,7.71720277777778,53.7752416666667,45.088,2021-12-07,1899-12-31 12:51:00,NA,Winter,2021,Spiekeroog,0.346749226006192,0.510835913312694
865,NA,1.32,0.651,0.397,0.218,8,n,3.5,0.609831029185868,2.98623853211009,7.71728055555556,53.7756416666667,44,2021-12-07,1899-12-31 13:54:00,NA,Winter,2021,Spiekeroog,0.609831029185868,0.334869431643625
866,847,NA,0.618,0.202,0.305,6,n,4.2,0.326860841423948,2.02622950819672,7.71726388888889,53.7754111111111,54,2021-12-07,1899-12-31 14:52:00,NA,Winter,2021,Spiekeroog,0.326860841423948,0.493527508090615
867,NA,NA,0.522,0.158,0.319,10,n,4.5,0.302681992337165,1.63636363636364,7.71730277777778,53.7753777777778,31,2021-12-07,1899-12-31 13:19:00,NA,Winter,2021,Spiekeroog,0.302681992337165,0.611111111111111
869,NA,NA,1.201,0.436,0.575,9,n,6,0.363030807660283,2.08869565217391,7.71732777777778,53.7757555555556,39,2021-12-07,1899-12-31 14:00:00,NA,Winter,2021,Spiekeroog,0.363030807660283,0.478767693588676
870,NA,NA,0.604,0.324,0.249,6,n,5.5,0.536423841059603,2.42570281124498,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.536423841059603,0.412251655629139
871,NA,NA,0.639,0.241,0.346,9,n,4,0.377151799687011,1.84682080924856,7.71719444444444,53.775475,64.348,2021-12-07,1899-12-31 15:14:00,NA,Winter,2021,Spiekeroog,0.377151799687011,0.541471048513302
872,NA,NA,0.544,0.274,0.25,5,n,4.6,0.503676470588235,2.176,7.71720277777778,53.7752416666667,45.088,2021-12-07,1899-12-31 12:51:00,NA,Winter,2021,Spiekeroog,0.503676470588235,0.459558823529412
873,NA,NA,0.752,0.232,0.364,10,n,6,0.308510638297872,2.06593406593407,7.71732777777778,53.7757555555556,39,2021-12-07,1899-12-31 14:00:00,NA,Winter,2021,Spiekeroog,0.308510638297872,0.484042553191489
875,NA,NA,0.527,0.205,0.312,8,n,4,0.38899430740038,1.68910256410256,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.38899430740038,0.592030360531309
876,NA,NA,0.546,0.202,0.295,12,n,5.5,0.36996336996337,1.85084745762712,7.71720277777778,53.7752416666667,45.088,2021-12-07,1899-12-31 12:51:00,NA,Winter,2021,Spiekeroog,0.36996336996337,0.54029304029304
877,NA,NA,0.819,0.357,0.395,10,n,3.7,0.435897435897436,2.07341772151899,7.71706666666667,53.7756416666667,52,2021-12-07,1899-12-31 14:55:00,NA,Winter,2021,Spiekeroog,0.435897435897436,0.482295482295482
878,NA,NA,0.998,0.395,0.378,13,n,5.5,0.395791583166333,2.64021164021164,7.71720277777778,53.7752416666667,45.088,2021-12-07,1899-12-31 12:51:00,NA,Winter,2021,Spiekeroog,0.395791583166333,0.37875751503006
879,NA,NA,0.426,0.183,0.292,5,n,4.6,0.429577464788732,1.45890410958904,7.71718611111111,53.7757222222222,59.371,2021-12-07,1899-12-31 13:37:00,NA,Winter,2021,Spiekeroog,0.429577464788732,0.685446009389671
880,863,NA,0.617,0.187,0.389,8,n,4.5,0.303079416531605,1.58611825192802,7.71719444444444,53.775475,64.348,2021-12-07,1899-12-31 15:15:00,NA,Winter,2021,Spiekeroog,0.303079416531605,0.630470016207455
881,NA,NA,1.033,0.544,0.335,7,n,5.4,0.526621490803485,3.08358208955224,7.71729444444444,53.7754027777778,89.032,2021-12-07,1899-12-31 13:15:00,NA,Winter,2021,Spiekeroog,0.526621490803485,0.324298160696999
882,NA,NA,0.467,0.168,0.28,8,n,5.9,0.359743040685225,1.66785714285714,7.71716388888889,53.7752416666667,46.097,2021-12-07,1899-12-31 12:57:00,NA,Winter,2021,Spiekeroog,0.359743040685225,0.599571734475375
883,NA,NA,0.695,0.359,0.319,7,n,5.9,0.516546762589928,2.17868338557994,7.71716388888889,53.7752416666667,46.097,2021-12-07,1899-12-31 12:57:00,NA,Winter,2021,Spiekeroog,0.516546762589928,0.458992805755396
884,868,NA,0.795,0.281,0.42,7,n,3.5,0.353459119496855,1.89285714285714,7.71737777777778,53.7756333333333,57.94,2021-12-07,1899-12-31 13:44:00,NA,Winter,2021,Spiekeroog,0.353459119496855,0.528301886792453
885,NA,NA,0.613,0.291,0.267,6,n,4.5,0.474714518760196,2.29588014981273,7.71730277777778,53.7753777777778,31,2021-12-07,1899-12-31 13:19:00,NA,Winter,2021,Spiekeroog,0.474714518760196,0.435562805872757
886,864,NA,0.929,0.405,0.433,10,n,3.5,0.435952637244349,2.14549653579677,7.71706666666667,53.7756416666667,52,2021-12-07,1899-12-31 14:55:00,NA,Winter,2021,Spiekeroog,0.435952637244349,0.466092572658773
887,NA,NA,1.004,0.467,0.475,10,n,5.3,0.465139442231076,2.11368421052632,7.71708888888889,53.7752583333333,45,2021-12-07,1899-12-31 12:46:00,NA,Winter,2021,Spiekeroog,0.465139442231076,0.473107569721116
888,820,NA,0.839,0.345,0.424,10,n,5.3,0.411203814064362,1.97877358490566,7.717125,53.7753638888889,50.372,2021-12-07,1899-12-31 14:52:00,NA,Winter,2021,Spiekeroog,0.411203814064362,0.505363528009535
889,NA,NA,0.768,0.345,0.311,10,n,3.5,0.44921875,2.46945337620579,7.71728611111111,53.7756305555556,50,2021-12-07,1899-12-31 13:37:00,NA,Winter,2021,Spiekeroog,0.44921875,0.404947916666667
890,874,NA,0.886,0.404,0.403,7,n,3.3,0.455981941309255,2.1985111662531,7.71721388888889,53.7754027777778,47.545,2021-12-07,1899-12-31 15:01:00,NA,Winter,2021,Spiekeroog,0.455981941309255,0.454853273137698
891,NA,NA,0.69,0.265,0.356,11,n,3.5,0.384057971014493,1.93820224719101,7.71728611111111,53.7756305555556,50,2021-12-07,1899-12-31 13:37:00,NA,Winter,2021,Spiekeroog,0.384057971014493,0.515942028985507
892,NA,NA,0.63,0.223,0.361,9,n,2.5,0.353968253968254,1.74515235457064,7.71721111111111,53.7754861111111,45.069,2021-12-07,1899-12-31 15:24:00,NA,Winter,2021,Spiekeroog,0.353968253968254,0.573015873015873
893,NA,NA,0.851,0.331,0.483,12,n,3.7,0.388954171562867,1.76190476190476,7.71727777777778,53.7756444444444,43,2021-12-07,1899-12-31 13:47:00,NA,Winter,2021,Spiekeroog,0.388954171562867,0.567567567567568
894,NA,NA,0.578,0.198,0.348,8,n,7,0.342560553633218,1.66091954022989,7.71721388888889,53.7753694444444,50.764,2021-12-07,1899-12-31 13:11:00,NA,Winter,2021,Spiekeroog,0.342560553633218,0.602076124567474
895,NA,NA,0.681,0.213,0.419,11,n,7,0.312775330396476,1.62529832935561,7.71721388888889,53.7753694444444,50.764,2021-12-07,1899-12-31 13:11:00,NA,Winter,2021,Spiekeroog,0.312775330396476,0.615271659324523
897,NA,NA,0.912,0.359,0.51,10,n,6,0.393640350877193,1.78823529411765,7.71732777777778,53.7757555555556,39,2021-12-07,1899-12-31 14:00:00,NA,Winter,2021,Spiekeroog,0.393640350877193,0.559210526315789
898,NA,NA,0.552,0.172,0.373,10,n,4,0.311594202898551,1.4798927613941,7.71719444444444,53.775475,64.348,2021-12-07,1899-12-31 15:14:00,NA,Winter,2021,Spiekeroog,0.311594202898551,0.675724637681159
899,NA,NA,0.771,0.302,0.357,13,n,3.2,0.391699092088197,2.15966386554622,7.71737777777778,53.7756333333333,57.94,2021-12-07,1899-12-31 13:44:00,NA,Winter,2021,Spiekeroog,0.391699092088197,0.463035019455253
900,NA,NA,1.322,0.569,0.65,11,n,6.7,0.430408472012103,2.03384615384615,7.71710555555556,53.7753027777778,43,2021-12-07,1899-12-31 13:04:00,NA,Winter,2021,Spiekeroog,0.430408472012103,0.491679273827534
901,NA,NA,0.541,0.213,0.294,NA,n,5.5,0.393715341959335,1.84013605442177,7.71722194444444,53.7754888888889,8.774,2021-12-08,1899-12-31 09:59:00,NA,Winter,2021,Spiekeroog,0.393715341959335,0.543438077634011
902,NA,NA,0.632,0.249,0.338,12,n,3.2,0.393987341772152,1.8698224852071,7.72281638888889,53.7745441666667,10.703,2021-12-07,1899-12-31 16:00:00,NA,Winter,2021,Spiekeroog,0.393987341772152,0.534810126582279
905,NA,NA,0.949,0.357,0.376,11,n,4.5,0.376185458377239,2.52393617021277,7.71716944444444,53.7755525,11.333,2021-12-08,1899-12-31 10:39:00,NA,Winter,2021,Spiekeroog,0.376185458377239,0.396206533192835
910,NA,NA,0.578,0.232,0.339,11,n,3.4,0.401384083044983,1.70501474926254,7.72271083333333,53.7744972222222,12.266,2021-12-07,1899-12-31 16:04:00,NA,Winter,2021,Spiekeroog,0.401384083044983,0.586505190311419
911,NA,NA,0.869,0.397,0.384,11,n,4.5,0.456846950517837,2.26302083333333,7.71721083333333,53.7755138888889,11.257,2021-12-08,1899-12-31 10:42:00,NA,Winter,2021,Spiekeroog,0.456846950517837,0.441887226697353
912,907,6.263,1.25,0.59,0.492,10,n,3.4,0.472,2.54065040650407,7.72268888888889,53.7744775,9.895,2021-12-07,1899-12-31 15:44:00,NA,Winter,2021,Spiekeroog,0.472,0.3936
913,NA,NA,0.837,0.349,0.475,10,y,5,0.416965352449223,1.7621052631579,7.71725527777778,53.7755275,11.613,2021-12-08,1899-12-31 10:43:00,angefressen,Winter,2021,Spiekeroog,0.416965352449223,0.567502986857826
914,906,4.042,0.811,0.311,0.468,6,n,3.8,0.38347718865598,1.73290598290598,7.72272194444444,53.7744972222222,10.777,2021-12-07,1899-12-31 15:55:00,NA,Winter,2021,Spiekeroog,0.38347718865598,0.577065351418002
916,NA,NA,0.874,0.407,0.446,12,n,3.2,0.465675057208238,1.95964125560538,7.72275833333333,53.7745055555556,12.16,2021-12-07,1899-12-31 16:03:00,NA,Winter,2021,Spiekeroog,0.465675057208238,0.510297482837529
918,NA,NA,0.384,0.189,0.212,5,n,5.9,0.4921875,1.81132075471698,7.71721388888889,53.7755275,9.128,2021-12-08,1899-12-31 09:48:00,NA,Winter,2021,Spiekeroog,0.4921875,0.552083333333333
919,NA,NA,0.396,0.132,0.225,8,n,4.5,0.333333333333333,1.76,7.71725277777778,53.7755191666667,9.675,2021-12-08,1899-12-31 09:50:00,NA,Winter,2021,Spiekeroog,0.333333333333333,0.568181818181818
920,NA,NA,0.86,0.362,0.362,10,n,3,0.42093023255814,2.37569060773481,7.72273583333333,53.7745219444444,11.143,2021-12-07,1899-12-31 16:01:00,NA,Winter,2021,Spiekeroog,0.42093023255814,0.42093023255814
922,NA,NA,0.783,0.399,0.323,10,n,3.9,0.509578544061303,2.42414860681115,7.72261388888889,53.7744722222222,1.996,2021-12-07,1899-12-31 16:02:00,NA,Winter,2021,Spiekeroog,0.509578544061303,0.412515964240102
923,NA,NA,0.466,0.157,0.29,8,n,2.1,0.336909871244635,1.60689655172414,7.72275277777778,53.7745527777778,18.016,2021-12-07,1899-12-31 16:15:00,NA,Winter,2021,Spiekeroog,0.336909871244635,0.622317596566524
924,NA,NA,0.579,0.205,0.301,10,n,3.7,0.35405872193437,1.92358803986711,7.71716083333333,53.7755138888889,17.923,2021-12-08,1899-12-31 10:25:00,NA,Winter,2021,Spiekeroog,0.35405872193437,0.51986183074266
926,NA,NA,0.417,0.169,0.239,8,n,3.9,0.405275779376499,1.74476987447699,7.71724722222222,53.7755358333333,8.407,2021-12-08,1899-12-31 10:13:00,NA,Winter,2021,Spiekeroog,0.405275779376499,0.573141486810552
927,NA,NA,0.845,0.339,0.36,12,n,4.8,0.401183431952663,2.34722222222222,7.71716083333333,53.7755025,11.328,2021-12-08,1899-12-31 10:36:00,NA,Winter,2021,Spiekeroog,0.401183431952663,0.42603550295858
928,908,4.527,0.835,0.333,0.438,11,n,3.8,0.398802395209581,1.90639269406393,7.72271083333333,53.7744972222222,9.209,2021-12-07,1899-12-31 15:58:00,NA,Winter,2021,Spiekeroog,0.398802395209581,0.524550898203593
929,NA,NA,0.594,0.156,0.292,8,n,2.6,0.262626262626263,2.03424657534247,7.71728027777778,53.7756,9.736,2021-12-08,1899-12-31 10:50:00,NA,Winter,2021,Spiekeroog,0.262626262626263,0.491582491582492
930,NA,NA,0.651,0.3,0.229,9,n,3.2,0.460829493087558,2.84279475982533,7.71728027777778,53.7754941666667,10.582,2021-12-08,1899-12-31 09:53:00,NA,Winter,2021,Spiekeroog,0.460829493087558,0.351766513056836
931,NA,NA,0.594,0.223,0.317,9,n,3.3,0.375420875420875,1.87381703470032,7.71720277777778,53.7754941666667,6.932,2021-12-08,1899-12-31 10:00:00,NA,Winter,2021,Spiekeroog,0.375420875420875,0.533670033670034
