Longitude,Latitude
11.8787777777778,51.5454
11.8787416666667,51.5454
11.8787694444444,51.5454027777778
11.8786888888889,51.5454333333333
11.878025,51.5455388888889
11.8787222222222,51.5454166666667
11.8786472222222,51.5454611111111
11.8787,51.5454222222222
11.8787055555556,51.5454333333333
11.8787111111111,51.5454333333333
11.8787527777778,51.5454527777778
11.8786972222222,51.545425
11.878725,51.5454416666667
11.8787027777778,51.5454138888889
11.8787527777778,51.5454166666667
11.8786527777778,51.5454444444444
11.8788138888889,51.5453138888889
11.8788138888889,51.5453388888889
11.8787944444444,51.5453416666667
11.8787861111111,51.5453194444444
11.8788,51.5452944444444
11.8822,51.55005
11.8821972222222,51.5500305555556
11.88215,51.5500361111111
11.8821555555556,51.5500333333333
11.8821166666667,51.550025
11.8821055555556,51.5500222222222
11.8806222222222,51.5501111111111
11.8806222222222,51.5501333333333
11.8806277777778,51.5501111111111
11.8834333333333,51.5469888888889
11.8834333333333,51.5469944444444
11.8833638888889,51.547
11.8833916666667,51.5469944444444
11.8834388888889,51.5470194444444
11.8833861111111,51.5470055555556
11.88335,51.5468138888889
11.8833666666667,51.5470277777778
11.8833638888889,51.5470361111111
11.8833777777778,51.54705
11.8833805555556,51.5470472222222
11.8833916666667,51.5470722222222
11.8833722222222,51.5470305555556
11.8834055555556,51.5470305555556
11.8834333333333,51.5469944444444
11.8825,51.546875
11.8839888888889,51.5464472222222
11.8840138888889,51.5464277777778
11.8840277777778,51.5464277777778
11.8840083333333,51.5464388888889
11.8840277777778,51.5464055555556
11.8840611111111,51.5464166666667
11.8840194444444,51.5464277777778
11.8840611111111,51.5463972222222
11.8840416666667,51.5464222222222
11.8840388888889,51.5464527777778
11.8840361111111,51.5464472222222
11.885830622095,51.5454587866391
11.8858258116619,51.5454690710956
11.885830622095,51.5454587866391
11.885830622095,51.5454587866391
11.885830622095,51.5454587866391
11.885830622095,51.5454587866391
11.885830622095,51.5454587866391
11.885830622095,51.5454587866391
