Taxa	PC1	PC2	PC3	PC4	PC5
741	-6.0425453	6.977026	-1.1160781	-0.8544408	0.26235983
744	2.9808285	0.57096416	-0.8590913	-1.9001647	1.0194918
746	0.20884255	1.0070329	-0.35458735	-1.5778062	-0.36779436
747	2.6059904	0.7402896	-1.1659926	-1.9966406	-0.03430549
748	3.151634	0.19268946	-0.8128931	-1.6733061	1.0203507
749	6.1015096	-0.3710502	-0.7780994	-1.422103	0.43694606
750	4.769966	-0.31268895	-0.2069474	-1.6253892	0.59983104
751	6.0160437	-0.29868558	-0.9714279	-1.1371186	0.7784141
752	5.847273	-0.458802	-0.64195174	-2.0254939	1.0481834
753	2.3536217	1.9188701	-1.0368359	-0.74541605	-0.25252116
754	-0.37623549	2.2007327	-0.5135466	-1.3675673	0.2589815
755	0.85592127	1.2730265	-0.8298349	-1.9660398	0.45199093
756	-0.49437985	3.9217641	-0.7918797	-0.37696669	1.3185086
757	5.303682	0.058053132	-0.53467506	-1.7042656	0.47627774
759	-2.0236392	3.1479409	-0.872292	-1.6481588	1.1526676
760	0.9184986	1.8632568	-0.9632471	-1.9928974	0.27849746
761	1.1544642	1.1813176	-0.27777648	-1.0993717	0.04912897
762	-4.339104	5.609995	-1.0605208	-0.024948265	-0.41722238
763	0.3467229	1.4567014	-0.7505403	-1.4211644	0.2709049
764	1.5078372	1.8837295	-1.5491438	-1.9353877	1.0432912
765	3.7217212	-0.5188041	-0.5567346	-1.4108468	0.6279754
766	5.517569	-0.51207227	-0.51723325	-1.6091442	0.7804111
767	-6.612987	6.986828	-1.6911255	-0.295225	1.1178677
768	-9.332563	9.71959	-1.5840442	0.09786522	0.66470146
769	-13.021294	-4.333156	-3.0231671	0.66385156	-0.26956883
773	-11.487106	-3.651398	0.7530925	-1.5726153	0.04236669
774	-5.3912635	-3.2451708	-3.8061502	-0.19210844	0.650311
775	-16.602194	5.31609	-3.2433743	0.83353364	0.39387724
776	1.2115247	-2.086766	-1.8346777	-0.4048669	0.17811374
777	-10.723029	-2.4069147	-3.8814352	0.17834555	0.43064663
778	-6.566793	-4.1758747	-3.0967193	-0.210937	-0.33733845
779	-24.388954	-10.664638	-6.7931123	2.0345988	0.008809276
780	-11.405254	-5.6553526	-3.3287988	-0.98708797	-0.124433905
781	1.2977059	-2.0194612	-2.065227	-0.070585184	0.108396634
782	-10.170956	2.3392208	-3.1716025	1.5800923	1.5090445
783	0.5014782	-3.0261245	-2.2563648	0.23361099	-0.10365114
784	-8.80701	-3.6046965	-2.0159125	-0.654417	-0.14773864
785	-8.582481	3.6078424	-2.4163396	1.3419185	-2.6612153
786	-8.357606	-3.715933	-2.208519	-0.8165457	0.08586804
787	-18.220903	-9.944908	-5.795788	1.9378457	0.7159325
788	-10.620515	-5.040369	-2.329153	-0.32942006	-1.0702235
789	-7.0101514	-3.6251502	-3.6718504	0.012759323	1.0879055
791	-4.4501143	1.3672041	-2.3799546	1.0258571	0.71286935
792	-8.786449	-5.2532225	-3.604651	-0.44666487	0.9426983
793	-10.869125	-5.281738	-3.2555685	1.0289443	0.3507581
794	-5.5182014	-4.542377	-3.4492278	-0.3456018	-0.22360471
795	-21.314999	-10.085909	-5.748477	1.6112474	0.3915129
796	-20.486065	-7.6283674	-2.8939044	0.49115744	-3.170056
797	-10.595658	-2.7554567	-3.636665	-0.79560953	0.6642501
799	-2.468928	-1.7895608	-2.7633054	-1.3305347	0.31166953
800	-26.778143	-9.786272	-6.7347245	1.8040917	0.60125166
801	-7.6185246	-4.6929703	-3.1640582	0.24249172	-0.3828835
802	-9.30798	-5.497092	-2.3978136	-0.6343055	0.28349382
805	-9.324456	-0.52274334	-3.1993065	-0.30131647	0.33710507
806	-4.05202	-2.6273043	-3.3249876	-0.71142036	0.41521525
807	0.60216254	-3.1955085	-1.4901845	-0.5957212	-0.3722892
808	-14.819578	-7.5570197	-4.121341	-0.6304796	0.024092035
809	-7.318089	-5.0927505	-2.7626202	0.8854123	0.2925461
811	-24.395113	-11.023718	-6.3297353	1.8816651	0.35920826
812	-5.135079	-3.472254	-2.470868	-0.30527666	-0.34512994
815	0.2819606	-3.0189283	-2.0844	-0.46743047	0.8372742
