PC	eigenvalue	proportion of total	cumulative proportion
240	0.13221	9.1806E-4	0.81516
241	0.13188	9.1578E-4	0.81608
242	0.13171	9.1458E-4	0.81699
243	0.13091	9.09E-4	0.8179
244	0.13032	9.0493E-4	0.81881
245	0.12986	9.0172E-4	0.81971
246	0.12944	8.9879E-4	0.82061
247	0.12922	8.9731E-4	0.8215
248	0.12871	8.9372E-4	0.8224
249	0.1277	8.8674E-4	0.82328
250	0.12734	8.8423E-4	0.82417
251	0.12701	8.8193E-4	0.82505
252	0.12667	8.796E-4	0.82593
253	0.12595	8.7458E-4	0.8268
254	0.12531	8.701E-4	0.82767
255	0.1251	8.6869E-4	0.82854
256	0.12433	8.6332E-4	0.82941
257	0.12402	8.612E-4	0.83027
258	0.12334	8.5645E-4	0.83112
259	0.12281	8.5274E-4	0.83198
260	0.12254	8.5089E-4	0.83283
261	0.12234	8.4953E-4	0.83368
262	0.12194	8.4672E-4	0.83452
263	0.12131	8.4237E-4	0.83537
264	0.12053	8.3693E-4	0.8362
265	0.12033	8.3557E-4	0.83704
266	0.12012	8.3408E-4	0.83787
267	0.11948	8.2964E-4	0.8387
268	0.11899	8.2623E-4	0.83953
269	0.11876	8.2468E-4	0.84035
270	0.11851	8.2288E-4	0.84118
271	0.11763	8.1679E-4	0.84199
272	0.1169	8.1177E-4	0.8428
273	0.11665	8.1003E-4	0.84361
274	0.1162	8.069E-4	0.84442
275	0.11581	8.0417E-4	0.84523
276	0.11545	8.0169E-4	0.84603
277	0.11496	7.9825E-4	0.84683
278	0.1147	7.9643E-4	0.84762
279	0.1143	7.9365E-4	0.84842
280	0.11402	7.9175E-4	0.84921
281	0.11397	7.9141E-4	0.85
282	0.11354	7.8838E-4	0.85079
283	0.11294	7.8427E-4	0.85157
284	0.1127	7.8258E-4	0.85235
285	0.11227	7.7956E-4	0.85313
286	0.1119	7.7702E-4	0.85391
287	0.11079	7.6933E-4	0.85468
288	0.11035	7.6624E-4	0.85545
289	0.11019	7.6511E-4	0.85621
290	0.10968	7.6158E-4	0.85697
291	0.10922	7.5842E-4	0.85773
292	0.10873	7.5501E-4	0.85849
293	0.1081	7.5062E-4	0.85924
294	0.10795	7.4957E-4	0.85999
295	0.1071	7.4367E-4	0.86073
296	0.10699	7.4291E-4	0.86147
297	0.10656	7.3996E-4	0.86221
298	0.10631	7.382E-4	0.86295
299	0.10594	7.3564E-4	0.86369
300	0.10561	7.3334E-4	0.86442
301	0.10482	7.2788E-4	0.86515
302	0.10467	7.268E-4	0.86587
303	0.10441	7.2498E-4	0.8666
304	0.10413	7.2302E-4	0.86732
305	0.10377	7.2059E-4	0.86804
306	0.10319	7.1651E-4	0.86876
