log2FoldChange,p_adj,state
0.373105025574438,1.43692114650123e-14,NO
0.422010358892383,1.13982367841948e-18,NO
-0.170244559063413,9.18430965252914e-05,NO
0.0237293931104381,0.13697384275033,NO
-0.781255700894714,0.191215830594021,NO
-0.508665038131487,0.0222393299183819,NO
-0.946816388808425,8.2148885555544e-07,NO
-0.228845378087805,0.129748559435217,NO
-0.549333257797226,0.023916337985716,NO
-0.324022178514487,0.0314270897241193,NO
-0.0431484607839372,0.0012214533169817,NO
0.278533110554833,3.25721784912779e-08,NO
0.660037866593735,1.33801057794134e-31,NO
0.825450696365801,4.35572338384223e-17,NO
0.17008357147725,1.69631909524763e-11,NO
-0.237086986352897,0.970441551909772,NO
-0.0569192604774621,0.00451952659810516,NO
-0.381964075255661,0.811848781075935,NO
-0.624291307790297,0.036444644449227,NO
-0.024851501988637,7.42388410789663e-07,NO
0.606479990803732,1.11760258204735e-66,NO
-0.185815167513441,2.2653954040149e-07,NO
0.404017469912534,1.32901340044015e-06,NO
-2.01319588083819,6.87620705515814e-61,DOWN
-0.716399352894304,0.070850592435267,NO
-0.732761471645987,1.70865290603891e-07,NO
0.432200375811585,2.05982647802349e-42,NO
1.42182257573354,4.59974483331898e-57,UP
0.79410528003928,7.51009841467929e-38,NO
-0.556072182142358,1.31239429444836e-05,NO
1.29404044600305,4.26218361506374e-43,UP
0.149267624945743,1.21566633898381e-07,NO
0.492897546608586,2.35762780532437e-23,NO
-1.38728466641538,2.60767736309212e-13,DOWN
-1.54781477502613,3.8520615632107e-09,DOWN
1.10613459657814,4.64869168591572e-49,UP
-1.75647130030651,1.4496957838114e-32,DOWN
-0.320097552038426,0.205409752275857,NO
-0.759667466263465,0.0190247045982419,NO
-1.79943142103286,0.000899140764383245,DOWN
0.183397082564343,2.55324014403381e-11,NO
-0.161647675118706,0.151738032030083,NO
0.488389753416366,2.12654642663868e-08,NO
-0.0597200251209126,1.29600969116862e-09,NO
-0.244145589372817,0.0460905440627173,NO
-0.811532624055026,0.601365158665063,NO
-0.616308881881047,0.016600629771002,NO
0.0703579280560999,8.87138600695099e-12,NO
-2.51466400245164,1.31884406002065e-23,DOWN
-1.16809348744869,3.31302048549291e-11,DOWN
-1.3932264171556,0.944634196841168,NO
0.0347473698134674,9.42154288068206e-06,NO
0.969211456449365,5.25198790458683e-56,NO
-0.343492629581895,0.873149263787694,NO
0.607477573821429,6.93991073362971e-40,NO
0.142119419797946,0.0383202544091911,NO
0.617206131237881,9.56252141669522e-37,NO
-0.250072508485131,0.872718276232054,NO
-1.36388770923745,1.17762223104507e-26,DOWN
-0.961673800067793,1.78134901036711e-10,NO
0.0295779405431505,0.347870798821883,NO
0.632369430778403,8.30815193834343e-33,NO
-0.401673152224633,0.0114019355321692,NO
-0.993286256977973,6.45069128274989e-30,NO
0.116812528901543,4.79201387798635e-09,NO
-1.14952665060588,2.62187164452708e-09,DOWN
0.108122769639509,3.36035787278297e-11,NO
-2.9684953555614,5.50063100576926e-70,DOWN
-0.261165331242145,0.693111910425869,NO
-0.0386737464881788,2.33158555834604e-30,NO
0.563873625974908,3.14180566883632e-20,NO
-0.205001551437834,1.40766896661706e-06,NO
0.414497913393644,1.53860133021967e-13,NO
-0.207717024483016,0.402510288934528,NO
0.223952755987908,1.6351804064776e-07,NO
1.24106189623064,2.30409167516569e-117,UP
-0.849658937036401,0.430808604115653,NO
0.137347078979734,0.00561324557662046,NO
-0.354365120865249,0.450681687953488,NO
0.0063119150361558,4.92823226531896e-05,NO
0.186158516886739,1.5307064860062e-07,NO
-3.81148676505642,1.5941066245752e-172,DOWN
0.918886974045803,1.6786603696948e-26,NO
0.262911905279705,2.27300120701972e-08,NO
1.0696604201452,4.15946006716017e-23,UP
-0.272388823044137,0.557605595822026,NO
0.0120546173956519,0.00353232584747797,NO
-0.928229293313435,0.92403767184884,NO
-0.681219071220041,0.00218136147259496,NO
-0.0777801725058344,0.00250878559453458,NO
-1.59145101615386,2.52193833092208e-17,DOWN
-0.525977520134512,0.183205395491271,NO
-1.38816321368115,7.05957007884502e-15,DOWN
0.670866007660286,6.8715358407928e-21,NO
0.297615854910867,1.63886590721008e-06,NO
-0.576267428847898,0.527346271288076,NO
0.536020692296742,7.78377970412269e-17,NO
-0.192144825659205,0.125452832662046,NO
1.32856730537957,1.36269851979718e-108,UP
1.6153566211383,3.33561029063326e-54,UP
-0.358933229175336,0.153429581777328,NO
-0.654630032358658,0.39921251589766,NO
-0.460413772460339,0.957621102139863,NO
-0.227771151654009,0.000389789939416995,NO
-0.988850061158755,2.71197085219358e-06,NO
1.57230647251208,9.174287281267e-72,UP
0.80625828002877,5.82179744578034e-64,NO
-1.14432109810542,1.04636419837808e-15,DOWN
-0.462647514599995,0.722685816479828,NO
0.898838985594885,0.110194770013573,NO
-0.679386430997327,0.0499296929829352,NO
0.00981763525956268,0.00479968611833058,NO
2.75174688558756,0.859007456403799,NO
