Gene,log2FoldChange,p_adj,state
AT5G44568,-1.65406629035847,5.46667239270692e-31,DOWN
AT1G06680,-1.66158840736851,1.62113428094614e-68,DOWN
AT1G31480,-1.66521589505181,0.000158111845959575,DOWN
AT1G03600,-1.67200426105502,2.20871993844466e-26,DOWN
AT1G20340,-1.67592083710561,2.13623409312782e-68,DOWN
AT5G38430,-1.6763659929007,4.60360572895634e-61,DOWN
AT1G17100,-1.67832673021241,2.76973683623575e-38,DOWN
AT4G03280,-1.67933358083595,2.46382371182465e-30,DOWN
AT4G39730,-1.69070320584125,1.42998885909785e-55,DOWN
AT1G52230,-1.69463862298644,5.36785786139977e-39,DOWN
AT3G54890,-1.69485765528012,1.95544231594004e-69,DOWN
AT1G35140,-1.70708188220118,6.18093310841637e-25,DOWN
AT1G32860,-1.7084534312783,2.3678150715118e-17,DOWN
AT1G64510,-1.71149644029384,4.68316007561435e-44,DOWN
AT1G61520,-1.71920930206859,6.96758759906424e-44,DOWN
AT4G39710,-1.71949414966433,6.79517881072803e-43,DOWN
AT1G52400,-1.72009173289002,4.82262788600744e-38,DOWN
AT4G16790,-1.72811402618531,9.55604383690345e-35,DOWN
AT3G58030,-1.73282383821747,1.10596449066647e-27,DOWN
AT5G64040,-1.73722903343794,7.52654167228027e-58,DOWN
AT5G18340,-1.7395994078412,1.00806652071448e-07,DOWN
AT3G26060,-1.74098297704595,9.91592474373801e-44,DOWN
AT5G44580,-1.7440556442294,6.4551051613184e-28,DOWN
AT5G45280,-1.74478118846086,7.8347587259638e-28,DOWN
AT2G05100,-1.7456280743162,5.24116716513209e-56,DOWN
AT4G12800,-1.7543343822726,3.53160806334849e-75,DOWN
AT5G66530,-1.75473364832267,4.96847072021773e-16,DOWN
AT3G44280,-1.75596059560917,1.88124865358637e-25,DOWN
AT1G30380,-1.77522918865806,1.28391906593097e-60,DOWN
AT1G11860,-1.77624603152867,8.73420620303499e-61,DOWN
AT4G14440,-1.78989372761598,1.86769725772308e-40,DOWN
AT1G36520,-1.7952565879104,5.28546833988058e-08,DOWN
AT4G21280,-1.79708270189546,3.33139316301031e-52,DOWN
AT2G28900,-1.79711380035039,7.06533953598577e-60,DOWN
AT1G20440,-1.79804316386987,3.28838698060867e-75,DOWN
AT3G16800,-1.80218891909238,3.58105508455258e-47,DOWN
AT3G63190,-1.81828389074972,2.9513517567088e-28,DOWN
AT2G33800,-1.82334117067724,4.92117827952764e-42,DOWN
AT4G27940,-1.83364543198077,2.86481084238365e-52,DOWN
AT4G12490,-1.83421214474844,1.06270791058352e-14,DOWN
AT3G05660,-1.84045539311943,1.20984815148253e-34,DOWN
AT5G03650,-1.84642069813918,1.85085290962328e-11,DOWN
AT1G75690,-1.84653182002273,2.43605308857361e-48,DOWN
AT3G25770,-1.84821756192088,1.61640860158339e-65,DOWN
AT3G61870,-1.86092487785916,5.86052598319235e-71,DOWN
AT3G23810,-1.86251198951772,1.7192712860649e-41,DOWN
AT1G27910,-1.86262643564357,8.7999384155654e-30,DOWN
AT5G21430,-1.86525878875699,1.14601847600462e-51,DOWN
AT1G71360,-1.8662698874325,9.15601480681855e-45,DOWN
AT5G55180,-1.88691533993889,2.67008369275635e-36,DOWN
AT1G19450,-1.89559039389373,5.22817023817737e-42,DOWN
AT1G11110,-1.90950123210102,2.71696442717527e-08,DOWN
AT5G01530,-1.91049998953356,1.35042461148135e-65,DOWN
AT2G40100,-1.91119154852882,6.49430589023241e-68,DOWN
AT1G49750,-1.91946005989072,1.26746736032897e-48,DOWN
ATCG00110,-1.92003506386209,1.23462866264239e-28,DOWN
ATCG01060,-1.92802003061791,3.44010392968776e-17,DOWN
AT5G43750,-1.93865132979826,1.66301424708978e-42,DOWN
AT3G21150,-1.94395208285835,4.07290129992598e-54,DOWN
AT4G10610,-1.96846520237734,0.000805515303482489,DOWN
AT2G22170,-1.98418432527087,1.96370959969457e-27,DOWN
AT1G44575,-1.99598398368034,1.47120790769745e-61,DOWN
AT5G63310,-1.99685725439686,1.19696315739983e-47,DOWN
AT3G04140,-1.99746920011976,4.98130118404816e-27,DOWN
AT3G27690,-1.99896873041089,1.38039207323655e-24,DOWN
AT2G32160,-2.02285286976668,5.92226957789542e-27,DOWN
AT2G44940,-2.02521919932978,6.58365232064743e-42,DOWN
AT5G19240,-2.02915493496758,3.83461529043157e-49,DOWN
AT1G56190,-2.037230571949,8.87588341066218e-56,DOWN
AT1G12900,-2.06639763968975,5.66758936612634e-69,DOWN
AT2G38540,-2.06898023254351,7.34328045918468e-61,DOWN
AT3G61470,-2.06991338782374,1.91845382077257e-71,DOWN
AT5G37720,-2.07111402257893,8.32008416313033e-24,DOWN
AT3G62030,-2.07412515837696,3.99448392864304e-51,DOWN
AT3G21055,-2.07860953936062,2.19034600125787e-66,DOWN
AT1G05870,-2.08713451137813,6.39915481375782e-42,DOWN
AT1G52000,-2.09069178374291,2.06607034318764e-55,DOWN
AT2G20260,-2.09149760676632,1.17654849908197e-66,DOWN
AT5G44110,-2.09350175042696,4.6881300937341e-50,DOWN
AT2G28190,-2.09407533434571,8.23527720421791e-67,DOWN
